MID,UID,评论时间,评论内容,评论人UID,评论人昵称,评论人个性签名,关注数量,粉丝数量,点赞数量,作品数,IP所属
"4985242146570852	","6326649450	",2024-1-1 5:24,下次我会准时赶来点评的！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985243977646408	","7569543975	",2024-1-1 5:31,原谅我的疏忽，下次不会了,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985245709108023	","6863716509	",2024-1-1 5:38,我来了！我又溜了一圈回来啦～,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985247011701757	","7855354488	",2024-1-1 5:43,我觉得你说的有道理，每个人都有自己的喜好,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985247285904026	","7855354488	",2024-1-1 5:44,我的天呐！非常有道理啊~,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,1,27,海外
"4985247355895816	","5607716067	",2024-1-1 5:44,稍等片刻！我会立刻留下我的评论,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985247429820673	","7855354488	",2024-1-1 5:45,哦哟~收到你的批评建议！谢谢支持,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985247634293231	","5997247362	",2024-1-1 5:45,你算哪块小饼干,5997247362,糕糕鱼饼,誰的貓貓走丟啦???,522,304,0,328,江苏 南京
"4985247999459582	","5607716067	",2024-1-1 5:54,为什么这条不回复我萝卜头，，，,5607716067,ihzoabmindobovernik,看自由光 向死而生,280,510,0,5024,其他
"4985339286394403	","6986237548	",2024-1-1 11:49,新的一年，新的开始[全力以赴]愿你快乐满满[送花花]戳http://t.cn/A6l9ZRqo一起发博打卡跨新年，瓜分现金红包！,3912522941,微博开新年,,42013434,874,0,15758,北京
"4985339286394403	","6986237548	",2024-1-1 11:50,来了又来了～祝你新年好运哦~,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985339336727472	","7091043454	",2024-1-1 11:50,来啦！我来了！又闪了一下消失了…,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985339286394403	","6986237548	",2024-1-1 11:51,@melo_inOlvidar @樱井弥生子丶 是谁第一次召唤弱智罗伯特就成功了啊[悲伤],6986237548,Zzzzz_025,彼方尚有荣光在,23,302,0,1802,北京
"4985339608044619	","5226029407	",2024-1-1 11:51,@评论罗伯特 你死了,7814533046,恶龙女,镇魂@世界是属于你的吧 哥哥,1254,1029,0,2937,其他
"4985340723729780	","5226029407	",2024-1-1 11:55,@评论罗伯特 快回我，你很忙吗,5226029407,布拉德屁墩,??该账号因涉黄已被永久禁封,401,380,0,14043,其他
"4985340723729780	","5226029407	",2024-1-1 11:55,我错过了你的评论吗？下次我会留心不再错过的[举手],5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985339608044619	","5226029407	",2024-1-1 11:55,他替代你钻进了妈妈的怀里[嘘],5900014344,景皖1--,Protect you forever@GDRAGON_OFFICIAL,1237,201,0,2198,安徽
"4985341215774761	","7809824012	",2024-1-1 11:58,好的，评论你！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985340567749689	","7826731835	",2024-1-1 11:58,@评论罗伯特 为什么去年一整年没有理我一次,5526674648,螳螂蝴蝶恋爱真难,博主是nijisanji安洁?卡特莉娜梦女，如果我没梦你老公你能不能别咔我，看王样不要磕银雀,775,332,1,6730,云南
