发布时间,微博内容,情感倾向
2023-08-09 19:19:00,经常跑去偷窥互关主页的我：,消极
2023-10-18 20:01:00,侯明昊超话#侯明昊#hmh#侯明昊王也#画了一张王也,积极
2023-10-25 22:30:00,想吃肉桂卷,积极
2023-11-08 11:21:00,大家发博@评论罗伯特看看，就会去找你,积极
2023-11-08 11:21:00,大家发博@评论罗伯特看看，就会去找你,积极
2023-12-07 18:30:00,大家好，为了使大家在发布微博后，收到有趣暖心的评论回复，@评论罗伯特内测啦！在微博发布原创内容或者艾特@评论罗伯特将有可能收到它的回复哦，希望大家在微博玩得愉快～,积极
2023-12-15 14:39:00,：恩恩。冯小刚影视基地，南洋风情，仿如走进看电影。。万安。午安，我的河岸我的城。。aabb,积极
2023-12-18 01:02:00,#茂灵#找师匠告白去了,积极
2023-12-27 17:26:00,今天罗伯特没来我还有点不太习惯………嚯哈哈哈哈哈好可爱的评论机器人@评论罗伯特,积极
2023-12-28 16:26:00,评论罗伯特，你发颠，别人问地你答天,积极
2023-12-29 20:30:00,2369,积极
2023-12-31 05:17:00,摩登兄弟超话#和刘宇宁点亮微博之夜#刘宇宁宁远舟lyn#刘宇宁宁远舟#lyn刘宇宁一念关山lyn#刘宇宁一念关山#lyn@摩登兄弟刘宇宁,积极
2023-12-31 15:29:00,2023最后一天，看看叶帅故居,积极
2023-12-31 16:18:00,生活细碎万物成诗2023,积极
2023-12-31 16:59:00,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP,积极
2023-12-31 19:48:00,#湖南卫视跨年晚会#张远的深V深得我心，生哥后面是不是有黑色深V，我们生远果然很搭,积极
2023-12-31 21:07:00,838.【“我的小奶音…”】跟德牧道歉行不行,积极
2023-12-31 22:00:00,信念是火种，能使心中的太阳燃烧。心态决定我们的生活，有什么样的心态，就有什么样的人生。面对人生的烦恼与挫折，最重要的是摆正自己的心态，积极面对一切。再苦再累，也要保持微笑。,积极
2023-12-31 23:31:00,这个betonme唱得我养胃了????,积极
2024-01-01,活在这个世界上的第18个年头,积极
2024-01-01 01:07:00,。。。。够了。,积极
2024-01-01 05:13:00,#bilibili#pcyxjy的视频ONMIXXSo?ar(Breaker)+LoveMeLikeThis歌谣大祭典高清舞台老公是一款可以把大灰狼吃掉的小红帽。,积极
2024-01-01 05:20:00,你好美特一个人吗@评论罗伯特,积极
2024-01-01 05:23:00,@评论罗伯特你为什么不评论我,积极
2024-01-01 05:30:00,@评论罗伯特我真的求求你了和我玩吧每次艾特你你都不回我哥@评论罗伯特,积极
